,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.3705,31.1107,35.05999999999998,93,100,8.79,overcast clouds
1,Saldanha,ZA,-33.0117,17.9442,55.44999999999999,61,96,18.66,overcast clouds
2,Caravelas,BR,-17.7125,-39.2481,78.30000000000001,81,100,5.73,overcast clouds
3,Umzimvubu,BR,-17.7125,-39.2481,78.30000000000001,81,100,5.73,overcast clouds
4,Sawakin,SD,19.1059,37.3321,70.7,71,40,9.86,scattered clouds
5,Kulhudhuffushi,MV,6.6221,73.07,81.68000000000004,73,97,4.61,overcast clouds
6,Illoqqortoormiut,MV,6.6221,73.07,81.68000000000004,73,97,4.61,overcast clouds
7,Coihaique,CL,-45.5752,-72.0662,56.010000000000026,62,40,3.44,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,67.36999999999996,89,100,16.26,light rain
9,Puerto Del Rosario,ES,28.5004,-13.8627,65.94999999999996,77,75,5.75,broken clouds
10,Kautokeino,NO,69.0125,23.0412,5.180000000000039,96,99,1.41,overcast clouds
11,Alpena,US,45.0617,-83.4327,29.100000000000044,82,100,5.99,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,78.39000000000004,88,86,12.21,light rain
13,Hithadhoo,MV,-0.6,73.0833,82.98000000000005,70,97,6.64,overcast clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,67.07999999999998,85,0,8.05,clear sky
15,Taolanaro,AR,-38.0023,-57.5575,67.07999999999998,85,0,8.05,clear sky
16,Longyearbyen,SJ,78.2186,15.6401,22.839999999999975,93,40,4.61,scattered clouds
17,Amderma,SJ,78.2186,15.6401,22.839999999999975,93,40,4.61,scattered clouds
18,Georgetown,MY,5.4112,100.3354,80.53,98,20,3.44,few clouds
19,Tuggurt,MY,5.4112,100.3354,80.53,98,20,3.44,few clouds
20,Geraldton,AU,-28.7667,114.6,63.00999999999997,88,9,9.22,clear sky
21,Illoqqortoormiut,AU,-28.7667,114.6,63.00999999999997,88,9,9.22,clear sky
22,Victoria,HK,22.2855,114.1577,74.17000000000004,89,62,5.99,broken clouds
23,Tsihombe,HK,22.2855,114.1577,74.17000000000004,89,62,5.99,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,67.36999999999996,89,100,16.26,light rain
25,Bambous Virieux,MU,-20.3428,57.7575,79.05000000000004,83,40,8.05,moderate rain
26,Port Alfred,ZA,-33.5906,26.891,67.36999999999996,89,100,16.26,light rain
27,Port Elizabeth,ZA,-33.918,25.5701,63.099999999999994,88,20,20.71,few clouds
28,Beyla,GN,8.6833,-8.6333,77.04000000000003,54,72,5.03,broken clouds
